City,Latitude,Temperature,Humidity,Cloudiness,Wind Speed
gorontalo,0.54,73.48,94,88,1.9
ushuaia,-54.81,40.23,69,75,21.92
black diamond,50.69,60.8,36,1,17.22
aguimes,27.91,77,61,40,29.97
henties bay,-22.12,58.72,89,0,2.68
clyde river,70.47,41,80,20,18.34
dotnuva,55.37,61.65,82,0,3.36
kavieng,-2.57,80.95,100,88,7.38
riyadh,24.63,91.4,13,0,6.6
bluff,-23.58,55.3,83,0,9.62
sao filipe,14.9,79.06,98,56,12.86
la ronge,55.1,57.2,93,90,3.36
hermanus,-34.42,53.32,82,0,3.13
ribeira grande,38.52,77,83,20,11.41
ostrovnoy,68.05,53.68,59,20,16.55
rikitea,-23.12,67,100,92,15.43
qaanaaq,77.48,32.62,100,0,2.46
pinhao,-25.7,82.03,35,0,5.37
busselton,-33.64,53.95,100,76,9.73
albany,42.65,78.67,60,75,3.36
igarka,67.47,41.71,73,0,24.05
flinders,-34.58,42.8,93,68,7.61
sobolevo,54.43,60.61,87,12,2.91
kongolo,-5.39,81.4,37,44,4.47
arraial do cabo,-22.97,79.93,61,0,23.04
bandarbeyla,9.49,73.12,85,0,31.32
tuktoyaktuk,69.44,42.8,93,90,6.93
bredasdorp,-34.53,62.6,88,32,5.82
kapaa,22.08,74.79,79,40,14.99
castro,-42.48,52.06,63,0,4.36
mataura,-46.19,29.83,81,8,2.57
bonavista,48.65,59.98,90,92,20.24
punta arenas,-53.16,43.66,65,40,23.04
pangnirtung,66.15,44.6,75,75,17.22
piedade,-23.71,81.85,41,0,6.6
west wendover,40.74,80.06,3,1,6.93
avarua,-21.21,73.84,100,92,24.83
lidkoping,58.51,60.8,93,92,5.82
kahului,20.89,80.24,78,20,32.21
pisco,-13.71,71.6,30,0,10.29
vila velha,-3.71,84.2,58,0,16.11
hobart,-42.88,48.2,81,90,8.05
presidente epitacio,-21.76,90.49,43,0,8.95
galle,29.74,91.02,47,40,4.7
amalner,21.04,75.55,90,92,6.04
scottsbluff,41.87,85.01,14,1,5.82
seoul,37.57,73.99,83,90,3.36
vila franca do campo,37.72,78.8,74,20,12.75
roma,41.89,79.34,65,0,4.7
ilulissat,69.22,37.4,97,75,8.05
salalah,17.01,75.2,100,90,3.36
jamestown,-33.21,50.08,100,88,13.31
klaksvik,62.23,50,81,68,8.05
souillac,45.6,74.19,41,0,6.93
vaini,15.34,68.89,99,92,5.82
namibe,-15.19,65.65,99,76,9.17
lebu,8.96,62.6,77,75,2.24
cravo norte,6.3,83.11,81,56,8.72
barra,-11.09,85.9,32,0,12.86
hilo,19.71,59.59,84,20,8.05
nikolskoye,59.7,62.6,82,20,4.47
yellowknife,62.45,55.4,50,90,3.36
cururupu,-1.82,85.27,80,8,7.83
cajaruro,-5.74,66.1,95,68,1.57
new norfolk,-42.78,48.2,81,90,8.05
sitka,37.17,95.44,36,8,13.98
lasa,34.92,80.6,69,20,11.41
inhambane,-23.87,69.8,73,0,8.39
cape coast,5.11,79.87,71,76,7.16
launceston,-41.43,42.8,93,75,9.17
mar del plata,-46.43,50.98,42,0,5.7
cherskiy,68.75,39.73,86,0,5.7
touros,-5.2,83.65,61,0,20.36
puerto ayora,-0.74,78.8,57,40,19.46
qaqortoq,60.72,48.2,49,75,28.86
pangai,-19.8,75.2,78,20,6.93
leningradskiy,69.38,40.09,89,92,19.13
pevek,69.7,40.09,100,0,2.91
bambous virieux,-20.34,70.87,72,8,11.63
port hardy,50.7,55.4,87,40,4.7
petauke,-14.25,71.5,41,44,10.96
cape town,-33.93,59,87,0,4.7
lata,30.78,59.71,100,80,1.12
stepnogorsk,52.35,48.73,77,0,4.7
muros,42.77,69.8,68,0,12.75
kodiak,39.95,75.02,81,75,11.41
hithadhoo,-0.6,83.29,100,48,1.12
mahebourg,-20.41,70.87,72,8,11.63
makakilo city,21.35,76.41,73,1,4.7
salinopolis,-0.61,83.56,90,0,10.07
mitsamiouli,-11.38,73.4,78,20,2.24
